msg202/\Nick Ing-Simmons/\ August 30, 1999 07:43
msg183/\Russ Allbery/\ August 29, 1999 19:50
msg188/\Ask Bjoern Hansen/\ August 29, 1999 22:45
msg159/\Ian Phillipps/\ August 29, 1999 15:47
msg154/\Ian Phillipps/\ August 29, 1999 14:50
msg189/\paul.marquess/\ August 30, 1999 01:27
msg101/\paul.marquess/\ August 29, 1999 02:07
msg129/\paul.marquess/\ August 29, 1999 11:26
msg119344/\vkonovalov/\ December 21, 2006 05:21
msg114/\Mark-Jason Dominus/\ August 29, 1999 08:08
msg116/\Mark-Jason Dominus/\ August 29, 1999 08:16
msg109/\paul.marquess/\ August 29, 1999 05:34
msg102/\paul.marquess/\ August 29, 1999 02:08
msg100/\Martin Lichtin/\ August 29, 1999 02:07
msg105/\Tom Hughes/\ August 29, 1999 03:58
msg124441/\Jan Dubois/\ May 15, 2007 18:21
msg124454/\Steve Hay/\ May 16, 2007 03:12
msg124493/\Jan Dubois/\ May 16, 2007 13:00
msg124533/\Steve Hay/\ May 17, 2007 10:15
msg124535/\Jan Dubois/\ May 17, 2007 11:21
msg124549/\Steve Hay/\ May 18, 2007 03:48
msg124577/\Jan Dubois/\ May 18, 2007 16:37
msg99/\Martin Lichtin/\ August 29, 1999 02:03
msg119280/\Sudhanshu Saxena/\ December 19, 2006 02:27
msg331/\Foley, Richard/\ September  1, 1999 07:13
msg325/\Jarkko Hietaniemi/\ September  1, 1999 05:16
msg329/\Martin Lichtin/\ September  1, 1999 06:50
msg330/\Jarkko Hietaniemi/\ September  1, 1999 06:55
msg97/\spider-perl/\ August 29, 1999 00:03
msg150/\Gurusamy Sarathy/\ August 29, 1999 14:22
msg98/\spider-perl/\ August 29, 1999 00:41
msg96/\Jeff Okamoto/\ August 28, 1999 16:56
msg86/\Jarkko Hietaniemi/\ August 28, 1999 14:27
msg93/\Jarkko Hietaniemi/\ August 28, 1999 15:18
msg143/\Kurt D. Starsinic/\ August 29, 1999 13:46
msg94/\Jarkko Hietaniemi/\ August 28, 1999 15:32
msg91/\Tom Christiansen/\ August 28, 1999 14:44
msg92/\Tom Christiansen/\ August 28, 1999 14:49
msg90/\jan.dubois/\ August 28, 1999 14:44
msg87/\Jarkko Hietaniemi/\ August 28, 1999 14:37
msg78/\Tom Christiansen/\ August 28, 1999 13:08
msg109194/\Linda W/\ January 31, 2006 19:27
msg109193/\Linda W/\ January 31, 2006 18:48
msg109195/\Glenn Linderman/\ January 31, 2006 19:41
msg73/\Matt Sergeant/\ August 28, 1999 12:20
msg71/\Johan Vromans/\ August 28, 1999 09:41
msg121/\Brad Appleton/\ August 29, 1999 09:53
msg157/\Gurusamy Sarathy/\ August 29, 1999 15:24
msg180/\Russ Allbery/\ August 29, 1999 19:38
msg72/\Nathan Torkington/\ August 28, 1999 11:25
msg84/\Ilya Zakharevich/\ August 28, 1999 14:16
msg144/\Kurt D. Starsinic/\ August 29, 1999 13:46
msg123/\JVromans/\ August 29, 1999 10:03
msg128/\Nathan Torkington/\ August 29, 1999 10:49
msg139/\Ilya Zakharevich/\ August 29, 1999 13:36
msg167/\Chip Salzenberg/\ August 29, 1999 16:23
msg176/\Ilya Zakharevich/\ August 29, 1999 19:26
msg151/\Nathan Torkington/\ August 29, 1999 14:25
msg178/\Ilya Zakharevich/\ August 29, 1999 19:37
msg185/\Nathan Torkington/\ August 29, 1999 21:10
msg187/\Ilya Zakharevich/\ August 29, 1999 22:01
msg186/\Jarkko Hietaniemi/\ August 29, 1999 21:12
msg205/\Nick Ing-Simmons/\ August 30, 1999 07:56
msg181/\Russ Allbery/\ August 29, 1999 19:42
msg76/\Gurusamy Sarathy/\ August 28, 1999 12:58
msg122/\Dan Sugalski/\ August 29, 1999 10:01
msg216/\Larry Wall/\ August 30, 1999 11:33
msg220/\Dan Sugalski/\ August 30, 1999 11:48
msg124/\Nathan Torkington/\ August 29, 1999 10:21
msg215/\Larry Wall/\ August 30, 1999 10:39
msg235/\Nathan Torkington/\ August 30, 1999 14:49
msg125/\Dan Sugalski/\ August 29, 1999 10:28
msg126/\Nathan Torkington/\ August 29, 1999 10:42
msg127/\Dan Sugalski/\ August 29, 1999 10:44
msg136/\Ilya Zakharevich/\ August 29, 1999 13:31
msg120/\Dan Sugalski/\ August 29, 1999 09:48
msg118/\Dan Sugalski/\ August 29, 1999 09:33
msg155/\Gurusamy Sarathy/\ August 29, 1999 15:12
msg156/\Dan Sugalski/\ August 29, 1999 15:23
msg163/\Gurusamy Sarathy/\ August 29, 1999 15:56
msg164/\Dan Sugalski/\ August 29, 1999 15:58
msg95/\andreas.koenig/\ August 28, 1999 16:46
msg110/\Dan Sugalski/\ August 29, 1999 07:22
msg113/\Dan Sugalski/\ August 29, 1999 08:07
msg152/\Gurusamy Sarathy/\ August 29, 1999 14:39
msg112/\Benjamin Franz/\ August 29, 1999 07:41
msg134/\Chip Salzenberg/\ August 29, 1999 12:54
msg135/\Benjamin Franz/\ August 29, 1999 13:28
msg140/\Chip Salzenberg/\ August 29, 1999 13:38
